"Sample Q: Time (min)","Sample Q: Potential (mV)","Blank: Time (min)","Blank: Potential (mV)"
0,1.14218261719,0,1.0439630127
0.00833333333333,1.06623962402,0.00833333333333,1.07180877686
0.0166666666667,1.06522705078,0.0166666666667,1.06522705078
0.025,1.10370483398,0.025,1.05408874512
0.0333333333333,1.09357910156,0.0333333333333,1.04193786621
0.0416666666667,1.08142822266,0.0416666666667,1.01409210205
0.05,1.05915161133,0.05,1.02523040771
0.0583333333333,1.02624298096,0.0583333333333,0.967007446289
0.0666666666667,1.04193786621,0.0666666666667,0.965994873047
0.075,1.07028991699,0.075,0.956881713867
0.0833333333333,1.06826477051,0.0833333333333,0.964476013184
0.0916666666667,1.05256988525,0.0916666666667,0.973082885742
0.1,1.06826477051,0.1,0.970045166016
0.108333333333,1.07130249023,0.108333333333,1.06927734375
0.116666666667,1.07383392334,0.116666666667,1.00751037598
0.125,1.08041564941,0.125,1.04851959229
0.133333333333,0.97662689209,0.133333333333,1.05408874512
0.141666666667,1.00953552246,0.141666666667,1.05965789795
0.15,1.04851959229,0.15,1.06623962402
0.158333333333,1.04953216553,0.158333333333,1.00649780273
0.166666666667,1.05155731201,0.166666666667,1.01307952881
0.175,1.05155731201,0.175,1.01409210205
0.183333333333,1.0535824585,0.183333333333,1.09560424805
0.191666666667,1.09712310791,0.191666666667,1.04143157959
0.2,1.09712310791,0.2,1.08800994873
0.208333333333,1.00447265625,0.208333333333,1.08902252197
0.216666666667,1.05307617187,0.216666666667,1.09357910156
0.225,1.05307617187,0.225,1.0945916748
0.233333333333,1.09661682129,0.233333333333,1.09104766846
0.241666666667,1.09611053467,0.241666666667,1.04497558594
0.25,1.09357910156,0.25,1.04953216553
0.258333333333,1.05256988525,0.258333333333,1.10471740723
0.266666666667,1.04750701904,0.266666666667,1.04953216553
0.275,1.09357910156,0.275,1.10775512695
0.283333333333,1.06067047119,0.283333333333,1.10978027344
0.291666666667,1.08345336914,0.291666666667,1.1087677002
0.3,1.084972229,0.3,1.11231170654
0.308333333333,1.03940643311,0.308333333333,1.0945916748
0.316666666667,1.03839385986,0.316666666667,1.11231170654
0.325,1.0657333374,0.325,1.07028991699
0.333333333333,1.08142822266,0.333333333333,1.07028991699
0.341666666667,1.07839050293,0.341666666667,1.06168304443
0.35,1.07687164307,0.35,1.07028991699
0.358333333333,0.992321777344,0.358333333333,1.11332427979
0.366666666667,1.01966125488,0.366666666667,1.1016796875
0.375,1.06927734375,0.375,1.11332427979
0.383333333333,1.0824407959,0.383333333333,1.08041564941
0.391666666667,1.02067382813,0.391666666667,1.11433685303
0.4,0.98574005127,0.4,1.11028656006
0.408333333333,1.02067382813,0.408333333333,1.06725219727
0.416666666667,1.0561138916,0.416666666667,1.06826477051
0.425,1.08952880859,0.425,1.06472076416
0.433333333333,1.02421783447,0.433333333333,1.05965789795
0.441666666667,1.03079956055,0.441666666667,1.05965789795
0.45,1.02624298096,0.45,1.05712646484
0.458333333333,1.05155731201,0.458333333333,1.05915161133
0.466666666667,1.09256652832,0.466666666667,1.08345336914
0.475,0.996372070312,0.475,1.0824407959
0.483333333333,1.02421783447,0.483333333333,1.08800994873
0.491666666667,1.01966125488,0.491666666667,1.0945916748
0.5,1.02877441406,0.5,1.08699737549
0.508333333333,1.03434356689,0.508333333333,1.07585906982
0.516666666667,0.919416503906,0.516666666667,1.06623962402
0.525,1.75985229492,0.525,1.04851959229
0.533333333333,4.44114624023,0.533333333333,1.02421783447
0.541666666667,6.0075970459,0.541666666667,0.956881713867
0.55,6.09467834473,0.55,1.73200653076
0.558333333333,6.14125671387,0.558333333333,4.23610015869
0.566666666667,5.79850067139,0.566666666667,5.82229614258
0.575,5.56206481934,0.575,6.01772277832
0.583333333333,5.49928527832,0.583333333333,5.96506896973
0.591666666667,5.18741271973,0.591666666667,5.64307067871
0.6,5.00565582275,0.6,5.40663482666
0.608333333333,4.56569274902,0.608333333333,5.04312103271
0.616666666667,4.49633148193,0.616666666667,4.96667175293
0.625,4.19104064941,0.625,4.67150665283
0.633333333333,3.99763916016,0.633333333333,4.41228790283
0.641666666667,3.56223266602,0.641666666667,4.17433319092
0.65,3.31972137451,0.65,3.79158050537
0.658333333333,3.27010528564,0.658333333333,3.63969451904
0.666666666667,2.76078094482,0.666666666667,3.37136260986
0.675,2.65142303467,0.675,3.11366271973
0.683333333333,2.59320007324,0.683333333333,2.84128051758
0.691666666667,2.38005340576,0.691666666667,2.62155212402
0.7,2.18614562988,0.7,2.34511962891
0.708333333333,1.89300567627,0.708333333333,2.18057647705
0.716666666667,1.83883300781,0.716666666667,1.97451782227
0.725,1.68239044189,0.725,1.72441223145
0.733333333333,1.54468048096,0.733333333333,1.65353210449
0.741666666667,1.31178863525,0.741666666667,1.51379699707
0.75,1.35583557129,0.75,1.40241394043
0.758333333333,1.2864743042,0.758333333333,1.26318511963
0.766666666667,1.24242736816,0.766666666667,1.24597137451
0.775,1.15990264893,0.775,1.2049621582
0.783333333333,1.14522033691,0.783333333333,1.19483642578
0.791666666667,1.18268554687,0.791666666667,1.18420440674
0.8,1.18268554687,0.8,1.11686828613
0.808333333333,1.13003173828,0.808333333333,1.15332092285
0.816666666667,1.09914825439,0.816666666667,1.16496551514
0.825,1.16445922852,0.825,1.14522033691
0.833333333333,1.17306610107,0.833333333333,1.14218261719
0.841666666667,1.12648773193,0.841666666667,1.11231170654
0.85,1.11990600586,0.85,1.13408203125
0.858333333333,1.13965118408,0.858333333333,1.14319519043
0.866666666667,1.15737121582,0.866666666667,1.13914489746
