Created as New Dataset,Sample 004 By CHEM 370 Date Monday, March 02 2020
cm-1,A
4000.00,0.0006
3999.00,0.0006
3998.00,0.0006
3997.00,0.0006
3996.00,0.0006
3995.00,0.0006
3994.00,0.0006
3993.00,0.0006
3992.00,0.0005
3991.00,0.0005
3990.00,0.0005
3989.00,0.0005
3988.00,0.0006
3987.00,0.0006
3986.00,0.0006
3985.00,0.0006
3984.00,0.0005
3983.00,0.0005
3982.00,0.0005
3981.00,0.0006
3980.00,0.0006
3979.00,0.0006
3978.00,0.0006
3977.00,0.0006
3976.00,0.0006
3975.00,0.0006
3974.00,0.0006
3973.00,0.0006
3972.00,0.0006
3971.00,0.0006
3970.00,0.0006
3969.00,0.0005
3968.00,0.0005
3967.00,0.0005
3966.00,0.0005
3965.00,0.0004
3964.00,0.0004
3963.00,0.0004
3962.00,0.0005
3961.00,0.0005
3960.00,0.0005
3959.00,0.0005
3958.00,0.0005
3957.00,0.0005
3956.00,0.0006
3955.00,0.0006
3954.00,0.0006
3953.00,0.0005
3952.00,0.0005
3951.00,0.0004
3950.00,0.0004
3949.00,0.0004
3948.00,0.0004
3947.00,0.0004
3946.00,0.0004
3945.00,0.0004
3944.00,0.0004
3943.00,0.0003
3942.00,0.0003
3941.00,0.0003
3940.00,0.0003
3939.00,0.0004
3938.00,0.0004
3937.00,0.0004
3936.00,0.0004
3935.00,0.0004
3934.00,0.0004
3933.00,0.0004
3932.00,0.0004
3931.00,0.0003
3930.00,0.0003
3929.00,0.0003
3928.00,0.0003
3927.00,0.0003
3926.00,0.0003
3925.00,0.0003
3924.00,0.0003
3923.00,0.0003
3922.00,0.0003
3921.00,0.0003
3920.00,0.0003
3919.00,0.0003
3918.00,0.0003
3917.00,0.0003
3916.00,0.0003
3915.00,0.0003
3914.00,0.0003
3913.00,0.0003
3912.00,0.0003
3911.00,0.0003
3910.00,0.0002
3909.00,0.0003
3908.00,0.0003
3907.00,0.0003
3906.00,0.0004
3905.00,0.0004
3904.00,0.0003
3903.00,0.0003
3902.00,0.0003
3901.00,0.0003
3900.00,0.0003
3899.00,0.0003
3898.00,0.0003
3897.00,0.0003
3896.00,0.0003
3895.00,0.0003
3894.00,0.0003
3893.00,0.0002
3892.00,0.0002
3891.00,0.0002
3890.00,0.0002
3889.00,0.0002
3888.00,0.0002
3887.00,0.0003
3886.00,0.0003
3885.00,0.0003
3884.00,0.0003
3883.00,0.0003
3882.00,0.0003
3881.00,0.0003
3880.00,0.0003
3879.00,0.0002
3878.00,0.0002
3877.00,0.0002
3876.00,0.0002
3875.00,0.0002
3874.00,0.0002
3873.00,0.0002
3872.00,0.0002
3871.00,0.0002
3870.00,0.0003
3869.00,0.0003
3868.00,0.0003
3867.00,0.0003
3866.00,0.0003
3865.00,0.0003
3864.00,0.0003
3863.00,0.0003
3862.00,0.0003
3861.00,0.0003
3860.00,0.0003
3859.00,0.0002
3858.00,0.0002
3857.00,0.0002
3856.00,0.0002
3855.00,0.0002
3854.00,0.0002
3853.00,0.0002
3852.00,0.0002
3851.00,0.0002
3850.00,0.0002
3849.00,0.0002
3848.00,0.0002
3847.00,0.0002
3846.00,0.0002
3845.00,0.0001
3844.00,0.0001
3843.00,0.0001
3842.00,0.0001
3841.00,0.0001
3840.00,0.0001
3839.00,0.0002
3838.00,0.0002
3837.00,0.0002
3836.00,0.0002
3835.00,0.0002
3834.00,0.0002
3833.00,0.0003
3832.00,0.0003
3831.00,0.0003
3830.00,0.0003
3829.00,0.0003
3828.00,0.0002
3827.00,0.0002
3826.00,0.0002
3825.00,0.0002
3824.00,0.0002
3823.00,0.0002
3822.00,0.0003
3821.00,0.0003
3820.00,0.0002
3819.00,0.0002
3818.00,0.0001
3817.00,0.0001
3816.00,0.0001
3815.00,0.0002
3814.00,0.0002
3813.00,0.0003
3812.00,0.0003
3811.00,0.0003
3810.00,0.0003
3809.00,0.0002
3808.00,0.0002
3807.00,0.0002
3806.00,0.0002
3805.00,0.0002
3804.00,0.0002
3803.00,0.0002
3802.00,0.0002
3801.00,0.0003
3800.00,0.0003
3799.00,0.0003
3798.00,0.0002
3797.00,0.0002
3796.00,0.0002
3795.00,0.0003
3794.00,0.0003
3793.00,0.0003
3792.00,0.0003
3791.00,0.0003
3790.00,0.0003
3789.00,0.0003
3788.00,0.0003
3787.00,0.0003
3786.00,0.0003
3785.00,0.0003
3784.00,0.0002
3783.00,0.0002
3782.00,0.0002
3781.00,0.0003
3780.00,0.0003
3779.00,0.0003
3778.00,0.0003
3777.00,0.0003
3776.00,0.0003
3775.00,0.0002
3774.00,0.0002
3773.00,0.0003
3772.00,0.0003
3771.00,0.0003
3770.00,0.0002
3769.00,0.0002
3768.00,0.0002
3767.00,0.0002
3766.00,0.0002
3765.00,0.0002
3764.00,0.0002
3763.00,0.0002
3762.00,0.0002
3761.00,0.0002
3760.00,0.0003
3759.00,0.0003
3758.00,0.0003
3757.00,0.0003
3756.00,0.0003
3755.00,0.0003
3754.00,0.0003
3753.00,0.0002
3752.00,0.0002
3751.00,0.0002
3750.00,0.0002
3749.00,0.0002
3748.00,0.0002
3747.00,0.0003
3746.00,0.0004
3745.00,0.0004
3744.00,0.0004
3743.00,0.0004
3742.00,0.0003
3741.00,0.0003
3740.00,0.0003
3739.00,0.0003
3738.00,0.0003
3737.00,0.0003
3736.00,0.0004
3735.00,0.0004
3734.00,0.0004
3733.00,0.0004
3732.00,0.0004
3731.00,0.0004
3730.00,0.0004
3729.00,0.0003
3728.00,0.0003
3727.00,0.0003
3726.00,0.0003
3725.00,0.0003
3724.00,0.0003
3723.00,0.0003
3722.00,0.0003
3721.00,0.0003
3720.00,0.0003
3719.00,0.0004
3718.00,0.0004
3717.00,0.0004
3716.00,0.0004
3715.00,0.0004
3714.00,0.0004
3713.00,0.0004
3712.00,0.0004
3711.00,0.0004
3710.00,0.0004
3709.00,0.0005
3708.00,0.0005
3707.00,0.0005
3706.00,0.0004
3705.00,0.0004
3704.00,0.0004
3703.00,0.0004
3702.00,0.0004
3701.00,0.0004
3700.00,0.0005
3699.00,0.0005
3698.00,0.0005
3697.00,0.0005
3696.00,0.0006
3695.00,0.0006
3694.00,0.0007
3693.00,0.0007
3692.00,0.0006
3691.00,0.0006
3690.00,0.0006
3689.00,0.0006
3688.00,0.0006
3687.00,0.0007
3686.00,0.0007
3685.00,0.0008
3684.00,0.0008
3683.00,0.0009
3682.00,0.0009
3681.00,0.0010
3680.00,0.0010
3679.00,0.0010
3678.00,0.0010
3677.00,0.0011
3676.00,0.0011
3675.00,0.0010
3674.00,0.0010
3673.00,0.0010
3672.00,0.0011
3671.00,0.0011
3670.00,0.0011
3669.00,0.0011
3668.00,0.0011
3667.00,0.0010
3666.00,0.0011
3665.00,0.0011
3664.00,0.0012
3663.00,0.0013
3662.00,0.0013
3661.00,0.0013
3660.00,0.0014
3659.00,0.0014
3658.00,0.0014
3657.00,0.0015
3656.00,0.0016
3655.00,0.0016
3654.00,0.0016
3653.00,0.0016
3652.00,0.0016
3651.00,0.0016
3650.00,0.0017
3649.00,0.0017
3648.00,0.0018
3647.00,0.0019
3646.00,0.0019
3645.00,0.0020
3644.00,0.0020
3643.00,0.0020
3642.00,0.0020
3641.00,0.0020
3640.00,0.0020
3639.00,0.0021
3638.00,0.0022
3637.00,0.0023
3636.00,0.0024
3635.00,0.0024
3634.00,0.0025
3633.00,0.0025
3632.00,0.0026
3631.00,0.0026
3630.00,0.0026
3629.00,0.0027
3628.00,0.0028
3627.00,0.0028
3626.00,0.0029
3625.00,0.0029
3624.00,0.0030
3623.00,0.0031
3622.00,0.0032
3621.00,0.0033
3620.00,0.0033
3619.00,0.0034
3618.00,0.0034
3617.00,0.0035
3616.00,0.0036
3615.00,0.0037
3614.00,0.0038
3613.00,0.0039
3612.00,0.0040
3611.00,0.0041
3610.00,0.0041
3609.00,0.0042
3608.00,0.0043
3607.00,0.0044
3606.00,0.0046
3605.00,0.0047
3604.00,0.0049
3603.00,0.0050
3602.00,0.0051
3601.00,0.0052
3600.00,0.0053
3599.00,0.0053
3598.00,0.0054
3597.00,0.0055
3596.00,0.0057
3595.00,0.0058
3594.00,0.0060
3593.00,0.0061
3592.00,0.0063
3591.00,0.0064
3590.00,0.0064
3589.00,0.0065
3588.00,0.0066
3587.00,0.0067
3586.00,0.0069
3585.00,0.0071
3584.00,0.0072
3583.00,0.0074
3582.00,0.0076
3581.00,0.0078
3580.00,0.0079
3579.00,0.0080
3578.00,0.0081
3577.00,0.0082
3576.00,0.0084
3575.00,0.0085
3574.00,0.0087
3573.00,0.0088
3572.00,0.0090
3571.00,0.0092
3570.00,0.0093
3569.00,0.0094
3568.00,0.0095
3567.00,0.0096
3566.00,0.0098
3565.00,0.0099
3564.00,0.0101
3563.00,0.0103
3562.00,0.0105
3561.00,0.0107
3560.00,0.0109
3559.00,0.0111
3558.00,0.0113
3557.00,0.0115
3556.00,0.0116
3555.00,0.0118
3554.00,0.0120
3553.00,0.0122
3552.00,0.0124
3551.00,0.0126
3550.00,0.0127
3549.00,0.0129
3548.00,0.0131
3547.00,0.0133
3546.00,0.0135
3545.00,0.0137
3544.00,0.0139
3543.00,0.0140
3542.00,0.0142
3541.00,0.0144
3540.00,0.0146
3539.00,0.0149
3538.00,0.0151
3537.00,0.0153
3536.00,0.0155
3535.00,0.0156
3534.00,0.0159
3533.00,0.0161
3532.00,0.0163
3531.00,0.0165
3530.00,0.0167
3529.00,0.0169
3528.00,0.0171
3527.00,0.0173
3526.00,0.0175
3525.00,0.0178
3524.00,0.0180
3523.00,0.0182
3522.00,0.0184
3521.00,0.0186
3520.00,0.0188
3519.00,0.0190
3518.00,0.0193
3517.00,0.0195
3516.00,0.0197
3515.00,0.0199
3514.00,0.0201
3513.00,0.0203
3512.00,0.0205
3511.00,0.0207
3510.00,0.0210
3509.00,0.0213
3508.00,0.0215
3507.00,0.0217
3506.00,0.0219
3505.00,0.0221
3504.00,0.0223
3503.00,0.0225
3502.00,0.0227
3501.00,0.0229
3500.00,0.0231
3499.00,0.0233
3498.00,0.0235
3497.00,0.0237
3496.00,0.0239
3495.00,0.0241
3494.00,0.0243
3493.00,0.0245
3492.00,0.0247
3491.00,0.0250
3490.00,0.0252
3489.00,0.0253
3488.00,0.0254
3487.00,0.0256
3486.00,0.0258
3485.00,0.0260
3484.00,0.0262
3483.00,0.0264
3482.00,0.0266
3481.00,0.0268
3480.00,0.0270
3479.00,0.0272
3478.00,0.0274
3477.00,0.0275
3476.00,0.0277
3475.00,0.0279
3474.00,0.0281
3473.00,0.0283
3472.00,0.0284
3471.00,0.0286
3470.00,0.0287
3469.00,0.0288
3468.00,0.0290
3467.00,0.0292
3466.00,0.0294
3465.00,0.0296
3464.00,0.0298
3463.00,0.0300
3462.00,0.0302
3461.00,0.0303
3460.00,0.0304
3459.00,0.0306
3458.00,0.0307
3457.00,0.0309
3456.00,0.0310
3455.00,0.0312
3454.00,0.0313
3453.00,0.0314
3452.00,0.0315
3451.00,0.0317
3450.00,0.0318
3449.00,0.0320
3448.00,0.0321
3447.00,0.0323
3446.00,0.0324
3445.00,0.0325
3444.00,0.0326
3443.00,0.0327
3442.00,0.0329
3441.00,0.0330
3440.00,0.0332
3439.00,0.0333
3438.00,0.0335
3437.00,0.0337
3436.00,0.0338
3435.00,0.0339
3434.00,0.0340
3433.00,0.0341
3432.00,0.0342
3431.00,0.0343
3430.00,0.0343
3429.00,0.0344
3428.00,0.0344
3427.00,0.0345
3426.00,0.0346
3425.00,0.0347
3424.00,0.0348
3423.00,0.0349
3422.00,0.0350
3421.00,0.0350
3420.00,0.0351
3419.00,0.0352
3418.00,0.0353
3417.00,0.0354
3416.00,0.0355
3415.00,0.0356
3414.00,0.0357
3413.00,0.0357
3412.00,0.0358
3411.00,0.0358
3410.00,0.0358
3409.00,0.0359
3408.00,0.0360
3407.00,0.0360
3406.00,0.0361
3405.00,0.0361
3404.00,0.0362
3403.00,0.0363
3402.00,0.0364
3401.00,0.0364
3400.00,0.0364
3399.00,0.0364
3398.00,0.0364
3397.00,0.0363
3396.00,0.0363
3395.00,0.0363
3394.00,0.0364
3393.00,0.0364
3392.00,0.0364
3391.00,0.0363
3390.00,0.0363
3389.00,0.0362
3388.00,0.0362
3387.00,0.0362
3386.00,0.0362
3385.00,0.0362
3384.00,0.0361
3383.00,0.0361
3382.00,0.0361
3381.00,0.0361
3380.00,0.0361
3379.00,0.0361
3378.00,0.0361
3377.00,0.0360
3376.00,0.0360
3375.00,0.0360
3374.00,0.0360
3373.00,0.0360
3372.00,0.0360
3371.00,0.0360
3370.00,0.0359
3369.00,0.0359
3368.00,0.0358
3367.00,0.0357
3366.00,0.0356
3365.00,0.0356
3364.00,0.0355
3363.00,0.0354
3362.00,0.0353
3361.00,0.0352
3360.00,0.0351
3359.00,0.0351
3358.00,0.0350
3357.00,0.0349
3356.00,0.0349
3355.00,0.0348
3354.00,0.0347
3353.00,0.0346
3352.00,0.0345
3351.00,0.0344
3350.00,0.0343
3349.00,0.0342
3348.00,0.0341
3347.00,0.0341
3346.00,0.0340
3345.00,0.0340
3344.00,0.0339
3343.00,0.0338
3342.00,0.0337
3341.00,0.0335
3340.00,0.0334
3339.00,0.0333
3338.00,0.0332
3337.00,0.0331
3336.00,0.0330
3335.00,0.0329
3334.00,0.0328
3333.00,0.0326
3332.00,0.0325
3331.00,0.0324
3330.00,0.0322
3329.00,0.0321
3328.00,0.0320
3327.00,0.0318
3326.00,0.0317
3325.00,0.0316
3324.00,0.0315
3323.00,0.0314
3322.00,0.0313
3321.00,0.0311
3320.00,0.0310
3319.00,0.0309
3318.00,0.0307
3317.00,0.0306
3316.00,0.0305
3315.00,0.0304
3314.00,0.0302
3313.00,0.0301
3312.00,0.0300
3311.00,0.0299
3310.00,0.0298
3309.00,0.0296
3308.00,0.0295
3307.00,0.0293
3306.00,0.0291
3305.00,0.0291
3304.00,0.0290
3303.00,0.0290
3302.00,0.0289
3301.00,0.0288
3300.00,0.0286
3299.00,0.0284
3298.00,0.0283
3297.00,0.0281
3296.00,0.0279
3295.00,0.0277
3294.00,0.0276
3293.00,0.0274
3292.00,0.0273
3291.00,0.0271
3290.00,0.0270
3289.00,0.0269
3288.00,0.0268
3287.00,0.0267
3286.00,0.0265
3285.00,0.0264
3284.00,0.0262
3283.00,0.0261
3282.00,0.0259
3281.00,0.0258
3280.00,0.0256
3279.00,0.0255
3278.00,0.0253
3277.00,0.0252
3276.00,0.0250
3275.00,0.0249
3274.00,0.0247
3273.00,0.0246
3272.00,0.0245
3271.00,0.0244
3270.00,0.0243
3269.00,0.0242
3268.00,0.0241
3267.00,0.0239
3266.00,0.0238
3265.00,0.0236
3264.00,0.0234
3263.00,0.0232
3262.00,0.0230
3261.00,0.0229
3260.00,0.0227
3259.00,0.0226
3258.00,0.0225
3257.00,0.0223
3256.00,0.0222
3255.00,0.0220
3254.00,0.0219
3253.00,0.0217
3252.00,0.0216
3251.00,0.0215
3250.00,0.0213
3249.00,0.0211
3248.00,0.0209
3247.00,0.0207
3246.00,0.0205
3245.00,0.0204
3244.00,0.0203
3243.00,0.0202
3242.00,0.0200
3241.00,0.0199
3240.00,0.0197
3239.00,0.0196
3238.00,0.0194
3237.00,0.0192
3236.00,0.0190
3235.00,0.0188
3234.00,0.0187
3233.00,0.0186
3232.00,0.0184
3231.00,0.0182
3230.00,0.0181
3229.00,0.0179
3228.00,0.0177
3227.00,0.0176
3226.00,0.0174
3225.00,0.0173
3224.00,0.0171
3223.00,0.0170
3222.00,0.0168
3221.00,0.0166
3220.00,0.0164
3219.00,0.0162
3218.00,0.0160
3217.00,0.0159
3216.00,0.0158
3215.00,0.0158
3214.00,0.0156
3213.00,0.0154
3212.00,0.0153
3211.00,0.0151
3210.00,0.0150
3209.00,0.0148
3208.00,0.0146
3207.00,0.0145
3206.00,0.0143
3205.00,0.0142
3204.00,0.0140
3203.00,0.0139
3202.00,0.0137
3201.00,0.0135
3200.00,0.0134
3199.00,0.0133
3198.00,0.0132
3197.00,0.0131
3196.00,0.0129
3195.00,0.0127
3194.00,0.0125
3193.00,0.0123
3192.00,0.0121
3191.00,0.0120
3190.00,0.0119
3189.00,0.0117
3188.00,0.0117
3187.00,0.0116
3186.00,0.0114
3185.00,0.0113
3184.00,0.0112
3183.00,0.0111
3182.00,0.0109
3181.00,0.0108
3180.00,0.0107
3179.00,0.0105
3178.00,0.0104
3177.00,0.0103
3176.00,0.0102
3175.00,0.0100
3174.00,0.0099
3173.00,0.0098
3172.00,0.0097
3171.00,0.0096
3170.00,0.0095
3169.00,0.0094
3168.00,0.0093
3167.00,0.0092
3166.00,0.0091
3165.00,0.0090
3164.00,0.0089
3163.00,0.0088
3162.00,0.0087
3161.00,0.0086
3160.00,0.0085
3159.00,0.0084
3158.00,0.0083
3157.00,0.0082
3156.00,0.0081
3155.00,0.0080
3154.00,0.0080
3153.00,0.0079
3152.00,0.0078
3151.00,0.0077
3150.00,0.0076
3149.00,0.0075
3148.00,0.0074
3147.00,0.0073
3146.00,0.0072
3145.00,0.0071
3144.00,0.0070
3143.00,0.0069
3142.00,0.0068
3141.00,0.0068
3140.00,0.0067
