Created as New Dataset,Sample 004 By CHEM 370 Date Monday, March 02 2020
cm-1,A
4000.0,0.0018
3999.0,0.0018
3998.0,0.0033
3997.0,0.0032
3996.0,0.0017000000000000001
3995.0,0.0027
3994.0,0.0026
3993.0,0.0031
3992.0,0.0015999999999999999
3991.0,0.0010999999999999998
3990.0,0.0021
3989.0,0.0012000000000000001
3988.0,0.0010999999999999998
3987.0,0.0010999999999999998
3986.0,0.0026
3985.0,0.0026
3984.0,0.0021
3983.0,0.0015999999999999999
3982.0,0.0010999999999999998
3981.0,0.0015999999999999999
3980.0,0.0021
3979.0,0.0021
3978.0,0.0026
3977.0,0.0026
3976.0,0.0031
3975.0,0.0015
3974.0,0.001
3973.0,0.0009
3972.0,0.0014
3971.0,0.0014
3970.0,0.0014
3969.0,0.0014
3968.0,0.0014
3967.0,0.0009
3966.0,0.0024000000000000002
3965.0,0.0024000000000000002
3964.0,0.0019
3963.0,0.0024000000000000002
3962.0,0.0029
3961.0,0.0009
3960.0,0.0009
3959.0,0.0014
3958.0,0.0028
3957.0,0.0023
3956.0,0.0023
3955.0,0.0028
3954.0,0.0018
3953.0,0.0018
3952.0,0.0023
3951.0,0.0013
3950.0,0.0018
3949.0,0.0028
3948.0,0.0024000000000000002
3947.0,0.0009
3946.0,0.0029
3945.0,0.0028
3944.0,0.0023
3943.0,0.0023
3942.0,0.0007999999999999999
3941.0,0.0018
3940.0,0.0023
3939.0,0.0013
3938.0,0.0018
3937.0,0.0018
3936.0,0.0018
3935.0,0.0007999999999999999
3934.0,0.0007999999999999999
3933.0,0.0029
3932.0,0.0029
3931.0,0.0029
3930.0,0.0007999999999999999
3929.0,0.0023
3928.0,0.0023
3927.0,0.0013
3926.0,0.0013
3925.0,0.0007999999999999999
3924.0,0.0028
3923.0,0.0017
3922.0,0.0017
3921.0,0.0006999999999999999
3920.0,0.0017
3919.0,0.0006000000000000001
3918.0,0.0026
3917.0,0.0021000000000000003
3916.0,0.0026
3915.0,0.0011
3914.0,0.0006000000000000001
3913.0,0.0011
3912.0,0.0006000000000000001
3911.0,0.0006000000000000001
3910.0,0.0026
3909.0,0.0021999999999999997
3908.0,0.0006999999999999999
3907.0,0.0006999999999999999
3906.0,0.0027
3905.0,0.0021999999999999997
3904.0,0.0027
3903.0,0.0011
3902.0,0.0026
3901.0,0.0026
3900.0,0.0021000000000000003
3899.0,0.0026
3898.0,0.0011
3897.0,0.0006000000000000001
3896.0,0.0021000000000000003
3895.0,0.0011
3894.0,0.0021000000000000003
3893.0,0.0006000000000000001
3892.0,0.0025
3891.0,0.0025
3890.0,0.002
3889.0,0.001
3888.0,0.001
3887.0,0.0025
3886.0,0.001
3885.0,0.0025
3884.0,0.0021000000000000003
3883.0,0.0021000000000000003
3882.0,0.0011
3881.0,0.0021000000000000003
3880.0,0.0021000000000000003
3879.0,0.002
3878.0,0.0005
3877.0,0.002
3876.0,0.0025
3875.0,0.0006000000000000001
3874.0,0.0021000000000000003
3873.0,0.0021000000000000003
3872.0,0.0006000000000000001
3871.0,0.0005
3870.0,0.0015
3869.0,0.0005
3868.0,0.0016
3867.0,0.0021000000000000003
3866.0,0.0016
3865.0,0.0005
3864.0,0.0015
3863.0,0.0015
3862.0,0.0005
3861.0,0.0025
3860.0,0.0005
3859.0,0.0015
3858.0,0.00039999999999999996
3857.0,0.0009
3856.0,0.0024000000000000002
3855.0,0.002
3854.0,0.0005
3853.0,0.0025
3852.0,0.001
3851.0,0.0015
3850.0,0.0015
3849.0,0.001
3848.0,0.0025
3847.0,0.001
3846.0,0.002
3845.0,0.0015
3844.0,0.0015
3843.0,0.001
3842.0,0.0005
3841.0,0.0005
3840.0,0.0015
3839.0,0.0021000000000000003
3838.0,0.0021000000000000003
3837.0,0.0021000000000000003
3836.0,0.0026
3835.0,0.0026
3834.0,0.0006000000000000001
3833.0,0.0021000000000000003
3832.0,0.0025
3831.0,0.0025
3830.0,0.0025
3829.0,0.0009
3828.0,0.0019
3827.0,0.0014
3826.0,0.0015
3825.0,0.0005
3824.0,0.002
3823.0,0.0005
3822.0,0.0025
3821.0,0.0005
3820.0,0.0015
3819.0,0.001
3818.0,0.001
3817.0,0.0024000000000000002
3816.0,0.0009
3815.0,0.0019
3814.0,0.0024000000000000002
3813.0,0.00039999999999999996
3812.0,0.0019
3811.0,0.0009
3810.0,0.0024000000000000002
3809.0,0.00039999999999999996
3808.0,0.0019
3807.0,0.00039999999999999996
3806.0,0.00039999999999999996
3805.0,0.0025
3804.0,0.0015
3803.0,0.0025
3802.0,0.002
3801.0,0.0006000000000000001
3800.0,0.0016
3799.0,0.0011
3798.0,0.0016
3797.0,0.002
3796.0,0.0025
3795.0,0.001
3794.0,0.0014
3793.0,0.00039999999999999996
3792.0,0.0009
3791.0,0.0014
3790.0,0.002
3789.0,0.0025
3788.0,0.0025
3787.0,0.002
3786.0,0.0015
3785.0,0.002
3784.0,0.0025
3783.0,0.002
3782.0,0.0025
3781.0,0.0006000000000000001
3780.0,0.0016
3779.0,0.0021000000000000003
3778.0,0.002
3777.0,0.002
3776.0,0.0005
3775.0,0.0005
3774.0,0.0015
3773.0,0.0021000000000000003
3772.0,0.0006000000000000001
3771.0,0.0011
3770.0,0.0006000000000000001
3769.0,0.001
3768.0,0.0015
3767.0,0.001
3766.0,0.0015
3765.0,0.0005
3764.0,0.001
3763.0,0.0021000000000000003
3762.0,0.0021000000000000003
3761.0,0.0027
3760.0,0.0012
3759.0,0.0011
3758.0,0.0026
3757.0,0.0006000000000000001
3756.0,0.0026
3755.0,0.0006000000000000001
3754.0,0.0021000000000000003
3753.0,0.0027
3752.0,0.0021999999999999997
3751.0,0.0027
3750.0,0.0023
3749.0,0.0028
3748.0,0.0013
3747.0,0.0007999999999999999
3746.0,0.0007999999999999999
3745.0,0.0018
3744.0,0.0023
3743.0,0.0013
3742.0,0.0017
3741.0,0.0006999999999999999
3740.0,0.0023
3739.0,0.0028
3738.0,0.0023
3737.0,0.0013
3736.0,0.0023
3735.0,0.0023
3734.0,0.0023
3733.0,0.0007999999999999999
3732.0,0.0023
3731.0,0.0007999999999999999
3730.0,0.0023
3729.0,0.0028
3728.0,0.0018
3727.0,0.0018
3726.0,0.0028
3725.0,0.0013
3724.0,0.0019
3723.0,0.0009
3722.0,0.0019
3721.0,0.0009
3720.0,0.0029
3719.0,0.001
3718.0,0.0019
3717.0,0.0009
3716.0,0.0029
3715.0,0.0029
3714.0,0.0019
3713.0,0.0029
3712.0,0.0014
3711.0,0.0009
3710.0,0.0009
3709.0,0.0024000000000000002
3708.0,0.0009
3707.0,0.0019
3706.0,0.0024000000000000002
3705.0,0.0025
3704.0,0.001
3703.0,0.0025
3702.0,0.0026
3701.0,0.0021
3700.0,0.0026
3699.0,0.0015999999999999999
3698.0,0.002
3697.0,0.0015
3696.0,0.0031
3695.0,0.0015999999999999999
3694.0,0.0031
3693.0,0.0017000000000000001
3692.0,0.0027
3691.0,0.0033
3690.0,0.0018
3689.0,0.0013
3688.0,0.0018
3687.0,0.0028
3686.0,0.0018999999999999998
3685.0,0.0034
3684.0,0.002
3683.0,0.0035
3682.0,0.0035
3681.0,0.0015
3680.0,0.003
3679.0,0.0025
3678.0,0.0021
3677.0,0.0021
3676.0,0.0027
3675.0,0.0028
3674.0,0.0028
3673.0,0.0018999999999999998
3672.0,0.0018999999999999998
3671.0,0.0035
3670.0,0.0035
3669.0,0.004
3668.0,0.0031
3667.0,0.0040999999999999995
3666.0,0.0038
3665.0,0.0034
3664.0,0.0039
3663.0,0.0035
3662.0,0.004
3661.0,0.004
3660.0,0.0035
3659.0,0.0045000000000000005
3658.0,0.0036
3657.0,0.0048000000000000004
3656.0,0.0039
3655.0,0.004
3654.0,0.0046
3653.0,0.0042
3652.0,0.0038
3651.0,0.0045
3650.0,0.0046
3649.0,0.0056
3648.0,0.0056
3647.0,0.004200000000000001
3646.0,0.0048
3645.0,0.0049
3644.0,0.004
3643.0,0.0041
