Created as New Dataset,Sample 005 By CHEM 370 Date Monday, March 02 2020
cm-1,A
3709.00,-0.0001
3708.00,-0.0001
3707.00,-0.0001
3706.00,-0.0000
3705.00,0.0000
3704.00,0.0000
3703.00,0.0000
3702.00,-0.0000
3701.00,-0.0000
3700.00,-0.0000
3699.00,0.0000
3698.00,0.0000
3697.00,0.0001
3696.00,0.0001
3695.00,0.0001
3694.00,0.0001
3693.00,0.0000
3692.00,-0.0000
3691.00,-0.0000
3690.00,0.0000
3689.00,0.0001
3688.00,0.0001
3687.00,0.0001
3686.00,0.0001
3685.00,0.0001
3684.00,0.0002
3683.00,0.0002
3682.00,0.0002
3681.00,0.0003
3680.00,0.0003
3679.00,0.0003
3678.00,0.0003
3677.00,0.0004
3676.00,0.0004
3675.00,0.0004
3674.00,0.0004
3673.00,0.0004
3672.00,0.0003
3671.00,0.0003
3670.00,0.0004
3669.00,0.0005
3668.00,0.0005
3667.00,0.0005
3666.00,0.0005
3665.00,0.0005
3664.00,0.0005
3663.00,0.0006
3662.00,0.0006
3661.00,0.0007
3660.00,0.0007
3659.00,0.0007
3658.00,0.0008
3657.00,0.0008
3656.00,0.0009
3655.00,0.0009
3654.00,0.0010
3653.00,0.0010
3652.00,0.0011
3651.00,0.0011
3650.00,0.0012
3649.00,0.0012
3648.00,0.0013
3647.00,0.0013
3646.00,0.0014
3645.00,0.0014
3644.00,0.0015
3643.00,0.0015
3642.00,0.0015
3641.00,0.0016
3640.00,0.0017
3639.00,0.0018
3638.00,0.0019
3637.00,0.0020
3636.00,0.0021
3635.00,0.0021
3634.00,0.0022
3633.00,0.0023
3632.00,0.0024
3631.00,0.0025
3630.00,0.0026
3629.00,0.0027
3628.00,0.0028
3627.00,0.0029
3626.00,0.0029
3625.00,0.0030
3624.00,0.0031
3623.00,0.0032
3622.00,0.0033
3621.00,0.0033
3620.00,0.0034
3619.00,0.0036
3618.00,0.0037
3617.00,0.0039
3616.00,0.0041
3615.00,0.0043
3614.00,0.0044
3613.00,0.0046
3612.00,0.0048
3611.00,0.0050
3610.00,0.0052
3609.00,0.0054
3608.00,0.0056
3607.00,0.0057
3606.00,0.0059
3605.00,0.0061
3604.00,0.0063
3603.00,0.0064
3602.00,0.0066
3601.00,0.0069
3600.00,0.0071
3599.00,0.0073
3598.00,0.0076
3597.00,0.0078
3596.00,0.0081
3595.00,0.0083
3594.00,0.0085
3593.00,0.0088
3592.00,0.0090
3591.00,0.0092
3590.00,0.0095
3589.00,0.0098
3588.00,0.0101
3587.00,0.0104
3586.00,0.0107
3585.00,0.0110
3584.00,0.0112
3583.00,0.0115
3582.00,0.0118
3581.00,0.0121
3580.00,0.0123
3579.00,0.0126
3578.00,0.0129
3577.00,0.0132
3576.00,0.0136
3575.00,0.0139
3574.00,0.0142
3573.00,0.0145
3572.00,0.0148
3571.00,0.0151
3570.00,0.0155
3569.00,0.0160
3568.00,0.0165
3567.00,0.0169
3566.00,0.0172
3565.00,0.0175
3564.00,0.0178
3563.00,0.0182
3562.00,0.0186
3561.00,0.0190
3560.00,0.0194
3559.00,0.0198
3558.00,0.0202
3557.00,0.0205
3556.00,0.0209
3555.00,0.0213
3554.00,0.0218
3553.00,0.0223
3552.00,0.0228
3551.00,0.0233
3550.00,0.0237
3549.00,0.0241
3548.00,0.0246
3547.00,0.0251
3546.00,0.0256
3545.00,0.0261
3544.00,0.0266
3543.00,0.0271
3542.00,0.0276
3541.00,0.0280
3540.00,0.0285
3539.00,0.0290
3538.00,0.0295
3537.00,0.0300
3536.00,0.0305
