"Data Set 1, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 1, Fl Ex @ 405 nm:Fluorescence","Data Set 2, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 2, Fl Ex @ 405 nm:Fluorescence","Data Set 3, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 3, Fl Ex @ 405 nm:Fluorescence","Data Set 4, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 4, Fl Ex @ 405 nm:Fluorescence","Data Set 5, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 5, Fl Ex @ 405 nm:Fluorescence","Data Set 6, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 6, Fl Ex @ 405 nm:Fluorescence","Data Set 7, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 7, Fl Ex @ 405 nm:Fluorescence","Data Set 8, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 8, Fl Ex @ 405 nm:Fluorescence","Data Set 9, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 9, Fl Ex @ 405 nm:Fluorescence","Data Set 10, Fl Ex @ 405 nm:Wavelength(nm)","Data Set 10, Fl Ex @ 405 nm:Fluorescence"
406.3,0.000,406.3,-0.000,406.3,0.000,406.3,0.010,406.3,0.025,406.3,0.046,406.3,0.068,406.3,0.094,406.3,0.015,406.3,0.022
407.2,0.000,407.2,-0.000,407.2,0.000,407.2,0.010,407.2,0.026,407.2,0.049,407.2,0.072,407.2,0.099,407.2,0.016,407.2,0.023
408.0,-0.000,408.0,0.000,408.0,-0.000,408.0,0.011,408.0,0.028,408.0,0.052,408.0,0.078,408.0,0.107,408.0,0.017,408.0,0.026
408.8,-0.001,408.8,-0.000,408.8,-0.000,408.8,0.012,408.8,0.030,408.8,0.055,408.8,0.082,408.8,0.113,408.8,0.017,408.8,0.028
409.6,-0.001,409.6,-0.000,409.6,-0.000,409.6,0.013,409.6,0.032,409.6,0.060,409.6,0.089,409.6,0.122,409.6,0.018,409.6,0.030
410.5,-0.001,410.5,-0.000,410.5,-0.000,410.5,0.014,410.5,0.034,410.5,0.064,410.5,0.095,410.5,0.129,410.5,0.020,410.5,0.031
411.3,-0.001,411.3,0.000,411.3,-0.000,411.3,0.014,411.3,0.037,411.3,0.069,411.3,0.102,411.3,0.139,411.3,0.021,411.3,0.033
412.1,-0.001,412.1,-0.001,412.1,-0.001,412.1,0.014,412.1,0.039,412.1,0.072,412.1,0.109,412.1,0.147,412.1,0.022,412.1,0.034
412.9,-0.001,412.9,-0.001,412.9,-0.001,412.9,0.015,412.9,0.042,412.9,0.075,412.9,0.115,412.9,0.156,412.9,0.023,412.9,0.037
413.8,-0.002,413.8,-0.001,413.8,-0.001,413.8,0.016,413.8,0.044,413.8,0.080,413.8,0.122,413.8,0.165,413.8,0.023,413.8,0.039
414.6,-0.001,414.6,-0.000,414.6,-0.000,414.6,0.017,414.6,0.047,414.6,0.086,414.6,0.131,414.6,0.176,414.6,0.025,414.6,0.043
415.4,-0.001,415.4,-0.000,415.4,0.001,415.4,0.018,415.4,0.052,415.4,0.093,415.4,0.140,415.4,0.186,415.4,0.027,415.4,0.046
416.2,-0.000,416.2,-0.001,416.2,-0.000,416.2,0.019,416.2,0.056,416.2,0.098,416.2,0.149,416.2,0.198,416.2,0.029,416.2,0.049
417.1,-0.001,417.1,-0.001,417.1,0.000,417.1,0.020,417.1,0.059,417.1,0.103,417.1,0.157,417.1,0.209,417.1,0.031,417.1,0.051
417.9,-0.000,417.9,-0.001,417.9,-0.000,417.9,0.022,417.9,0.062,417.9,0.110,417.9,0.167,417.9,0.223,417.9,0.032,417.9,0.055
418.7,-0.000,418.7,-0.001,418.7,0.000,418.7,0.023,418.7,0.066,418.7,0.116,418.7,0.176,418.7,0.235,418.7,0.034,418.7,0.057
419.5,0.000,419.5,-0.001,419.5,-0.000,419.5,0.024,419.5,0.071,419.5,0.124,419.5,0.187,419.5,0.248,419.5,0.036,419.5,0.061
420.4,-0.000,420.4,-0.002,420.4,-0.001,420.4,0.024,420.4,0.074,420.4,0.129,420.4,0.196,420.4,0.260,420.4,0.037,420.4,0.063
421.2,-0.000,421.2,-0.002,421.2,-0.000,421.2,0.025,421.2,0.078,421.2,0.137,421.2,0.205,421.2,0.271,421.2,0.040,421.2,0.067
422.0,-0.001,422.0,-0.002,422.0,-0.000,422.0,0.026,422.0,0.082,422.0,0.144,422.0,0.214,422.0,0.284,422.0,0.041,422.0,0.070
422.9,-0.001,422.9,-0.000,422.9,0.000,422.9,0.027,422.9,0.087,422.9,0.150,422.9,0.224,422.9,0.296,422.9,0.043,422.9,0.074
423.7,-0.001,423.7,-0.000,423.7,-0.001,423.7,0.029,423.7,0.091,423.7,0.156,423.7,0.234,423.7,0.311,423.7,0.045,423.7,0.079
424.5,-0.001,424.5,-0.000,424.5,-0.001,424.5,0.030,424.5,0.094,424.5,0.164,424.5,0.244,424.5,0.322,424.5,0.047,424.5,0.083
425.3,-0.001,425.3,-0.001,425.3,-0.001,425.3,0.032,425.3,0.099,425.3,0.172,425.3,0.254,425.3,0.335,425.3,0.050,425.3,0.087
426.2,-0.001,426.2,-0.001,426.2,-0.000,426.2,0.033,426.2,0.103,426.2,0.181,426.2,0.264,426.2,0.347,426.2,0.052,426.2,0.092
427.0,-0.001,427.0,-0.000,427.0,0.000,427.0,0.034,427.0,0.110,427.0,0.189,427.0,0.276,427.0,0.362,427.0,0.055,427.0,0.097
427.8,-0.000,427.8,0.000,427.8,0.000,427.8,0.036,427.8,0.114,427.8,0.197,427.8,0.287,427.8,0.375,427.8,0.058,427.8,0.101
428.6,-0.000,428.6,0.000,428.6,-0.000,428.6,0.038,428.6,0.119,428.6,0.205,428.6,0.299,428.6,0.389,428.6,0.060,428.6,0.105
429.5,-0.001,429.5,-0.000,429.5,-0.001,429.5,0.038,429.5,0.122,429.5,0.212,429.5,0.311,429.5,0.401,429.5,0.061,429.5,0.108
430.3,-0.001,430.3,-0.000,430.3,-0.001,430.3,0.040,430.3,0.125,430.3,0.220,430.3,0.324,430.3,0.416,430.3,0.064,430.3,0.112
431.1,-0.000,431.1,0.001,431.1,-0.000,431.1,0.042,431.1,0.131,431.1,0.228,431.1,0.336,431.1,0.432,431.1,0.067,431.1,0.118
431.9,-0.000,431.9,0.001,431.9,0.001,431.9,0.045,431.9,0.136,431.9,0.237,431.9,0.346,431.9,0.448,431.9,0.069,431.9,0.122
432.8,0.000,432.8,0.001,432.8,0.001,432.8,0.046,432.8,0.142,432.8,0.246,432.8,0.358,432.8,0.463,432.8,0.073,432.8,0.127
433.6,-0.000,433.6,-0.001,433.6,0.001,433.6,0.047,433.6,0.148,433.6,0.253,433.6,0.367,433.6,0.478,433.6,0.076,433.6,0.132
434.4,0.000,434.4,-0.001,434.4,0.000,434.4,0.048,434.4,0.153,434.4,0.262,434.4,0.378,434.4,0.491,434.4,0.079,434.4,0.137
435.3,-0.001,435.3,-0.002,435.3,-0.000,435.3,0.049,435.3,0.157,435.3,0.269,435.3,0.389,435.3,0.503,435.3,0.081,435.3,0.141
436.1,-0.001,436.1,-0.001,436.1,-0.000,436.1,0.051,436.1,0.162,436.1,0.277,436.1,0.399,436.1,0.516,436.1,0.083,436.1,0.145
436.9,-0.001,436.9,-0.001,436.9,-0.000,436.9,0.053,436.9,0.167,436.9,0.283,436.9,0.410,436.9,0.530,436.9,0.086,436.9,0.150
437.7,-0.001,437.7,0.000,437.7,-0.000,437.7,0.055,437.7,0.171,437.7,0.291,437.7,0.420,437.7,0.543,437.7,0.089,437.7,0.154
438.6,-0.001,438.6,-0.000,438.6,0.000,438.6,0.057,438.6,0.177,438.6,0.299,438.6,0.431,438.6,0.554,438.6,0.092,438.6,0.159
439.4,-0.001,439.4,0.000,439.4,-0.000,439.4,0.058,439.4,0.182,439.4,0.307,439.4,0.442,439.4,0.566,439.4,0.095,439.4,0.164
